National Park,Type,Name,Difficulty:,Length:,Accessible:,Education:,Rating
Yosemite National Park,Activity,Yosemite Falls Hike,Medium,3 hours,No,FALSE,4
Yosemite National Park,Food,Food:Lunch,,2 hours,Yes,FALSE,5
Yosemite National Park,Food,Food:Dinner,,2 hours,Yes,FALSE,5
Yosemite National Park,Activity,Camping,Hard,Entire,No,FALSE,5
Yosemite National Park,Activity,Backpacking,Hard,Entire,No,TRUE,5
Yosemite National Park,Activity,Valley Floor Tour,Easy,2 hours,Yes,TRUE,5
Yosemite National Park,Activity,Glacier Point Tour,Easy,4 hours,Yes,TRUE,5
Yosemite National Park,Activity,Grand Tour ,Easy,8 hours,Yes,TRUE,5
Yosemite National Park,Activity,Tuolumne Meadows Hikers Bus,Easy,8 hours,Yes,TRUE,5
Yosemite National Park,Activity,Yosemite After Dark,Easy,1.5 hours,Yes,TRUE,5
Yosemite National Park,Activity,Walking Starry Skies (Winter Only),Easy,1 hours,No,TRUE,5
Yosemite National Park,Activity,Glacier Point Starry Night Skies,Easy,1 hours,Yes,TRUE,5
Yosemite National Park,Activity,Historic Ahwahnee Hotel Tour,Easy,1 hours,Yes,TRUE,3
Yosemite National Park,Activity,Guided Nature Walks,Medium,1 hours,No,TRUE,4
Yosemite National Park,Activity,Photography Walks,Medium,3 hours,No,TRUE,3
Yosemite National Park,Activity,Birdwatching,Medium,3 hours,No,TRUE,4
Yosemite National Park,Activity,Rock Climbing,Hard,3 hours,No,FALSE,4
Yosemite National Park,Activity,Boating and Rafting,Medium,3 hours,No,FALSE,5
Yosemite National Park,Activity,Fishing,Medium,3 hours,Yes,FALSE,4
Yosemite National Park,Activity,Swimming,Medium,1.5 hours,No,FALSE,4
Yosemite National Park,Activity,Cross-Country Skiing and Snowshoeing,Medium,12 hours,No,FALSE,3
Yosemite National Park,Activity,Downhill Skiing and Snowboarding,Medium,12 hours,No,FALSE,4
Yellowstone,Activity,Yellowstone & Grand Teton Day Tour,Easy,12 hours,No,TRUE,4
Yellowstone,Activity,Best of Yellowstone,Easy,8 hours,No,TRUE,5
Yellowstone,Activity,Big Sky Wildlife Safari,Medium,8 hours,No,TRUE,5
Yellowstone,Activity,Yellowstone Wildlife Safari Tour,Medium,8 hours,No,TRUE,4
Yellowstone,Activity,Yellowstone Winter Wildlife Safari,Easy,6 hours,No,TRUE,4
Yellowstone,Activity,Big Sky Adventure,Medium,6 hours,No,TRUE,4
Yellowstone,Activity,Yellowstone Walking Safari,Medium,8 hours,No,FALSE,4
Yellowstone,Activity,Yellowstone Photography Tour & Wildlife Safari,Easy,8 hours,No,FALSE,5
Yellowstone,Food,Lunch,,1.5 hours,Yes,FALSE,5
Yellowstone,Food,Dinner,,2 hours,Yes,FALSE,5
Yellowstone,Food,Breakfast,,1 hour,Yes,FALSE,5